"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"
"DNase"	34.7276742929477	49.3183582464599	64.0415806877548	238.032437772779	50.2344917055329	177.29274494452	61.9444013872227	143.463232711573	29751.629401385	9470.91788754261	111.491184981221	531.891364652653	663.559993336387	269.624564410122	337.804481805493	563.074493741372	708.72110685033	3389.81000972651	1412.98998079791	1195.48863616173	854.390989423787	595.108636595773	315.777374238588	549.150885036463	185.060316506978	188.428212867219	173.539317160077	1374.37620322209	802.474162636385	126.455596602311	206.738261859628	132.830754901408	124.5529889012	105.199628191873	93.9698134549468	132.763273084245	270.154155958016	74.6778908316005	76.9627413433185	86.9461689546299
"H2A.Z"	6.1896879911225	6.81683348964726	7.51211343560143	8.40036045104164	9.42897788965787	10.8302487404191	12.3660485657701	14.6457648610143	16.7160293186346	19.2382382511065	22.1256346776039	25.1854291850496	27.6239941807307	30.2241324144595	31.6203927311758	30.2894208188795	26.5073485553388	22.0484560151257	17.7475863571068	16.5864099357884	20.599787780258	27.1830978886846	31.1931637896953	34.1918436934889	33.3845506277003	29.7008738917731	27.0473315651297	25.340367184151	23.29341378579	21.1225602438706	19.3101078567451	17.8434299985517	16.3309578141519	14.7101931211165	13.6288243969479	12.5744939405097	11.4773987321597	10.472133628871	9.50213578597774	9.00677913517781
"H3K27ac"	11.2755270074842	11.9247052051121	13.1617252351229	14.4173937024851	15.8047417708658	17.6349593643351	19.503664295664	21.5263862473245	23.7277743010843	26.5734916183131	29.0738170859453	31.3167017861293	32.7862028995097	33.7242001715951	33.4597530312794	31.0443500018562	28.0609851450479	25.9610717343066	24.7857287292671	25.6288270870167	29.6426963098167	35.176543205117	39.4592876703238	44.6221767929074	49.3184343233447	48.4280102551792	45.6716436385373	43.636560999583	42.1359413939269	39.3829319622158	36.6791424157389	34.6375569975613	32.3513706807214	30.2685987451796	28.3351051980818	26.4725235504641	24.6002767211831	22.740987907465	21.3494869025069	20.3815447838078
"H3K27me3"	2.00179491003677	1.97755734710365	2.09013239010611	2.17126913266001	2.06512872149055	2.19294486891244	2.11441551470081	2.19785179822652	2.16461332749843	2.07807178550865	2.10406013720787	2.07755973430566	2.10801937987731	2.13200189756019	2.05047029300601	2.0636250106721	2.01853042611009	2.18949602034584	2.05629625732323	1.94615732148562	2.05356710693541	2.16793835922596	2.1864617264667	2.2670038044479	2.39187933419792	2.40441126187051	2.43070052334065	2.49169714566298	2.54113651110996	2.49186755904507	2.59055510705318	2.60327873016884	2.61390590435743	2.62677861902446	2.62044484626653	2.61343304743751	2.7722238664837	2.65928310476924	2.56926724165484	2.68866626033655
"H3K36me3"	0.714503440592917	0.69225519425477	0.751391086667327	0.755001715292586	0.687721400974258	0.810347278512961	0.698615394866423	0.716348307762723	0.711821519983845	0.662392262198201	0.669510320540049	0.654830554518931	0.654548165275004	0.679421156456249	0.663355599511329	0.705249091094715	0.700975051943688	0.818235995354175	0.79499327499761	0.759051055948538	0.798330826352405	0.821558736917678	0.814995801065635	0.812413073958434	0.823064097826174	0.801578458438157	0.762646745163277	0.759863070635499	0.751042225378832	0.718666037316511	0.725985833913996	0.721968131884237	0.71641143435345	0.722989552055768	0.702078169915865	0.694581602842449	0.757557603615635	0.726175465982778	0.693019172001523	0.739730984917692
"H3K4me1"	2.34267273540056	2.34073822677667	2.41964868820742	2.46586471023006	2.45373680315233	2.55128044584495	2.51796786219355	2.56899705347493	2.56972759411486	2.53054845033555	2.54701468456562	2.4918822788988	2.42606132399023	2.37151428142583	2.24663233254016	2.1419732291055	1.98531422380859	1.99612562838815	1.88816082798526	1.8248205780767	1.85420971033466	1.91950416887209	1.96400404884859	2.01605839861771	2.05505451539758	2.04346723625934	2.05007172126436	2.07941656960313	2.09351469035267	2.08765982106022	2.16030484630673	2.21006746182916	2.24183182945501	2.30975243328489	2.38510453935498	2.45361768610829	2.57138916039232	2.59033029217738	2.60244795725389	2.68877484298986
"H3K4me2"	18.9237341894063	19.895423851706	21.3889075555496	22.5460957028701	24.1142047093956	25.8474556276795	27.2687026478403	28.8591410162451	30.0968969962444	31.6773836626592	33.2938704168668	33.9021183043352	34.1370219720571	34.4363685789318	33.5577354749171	30.0905162612206	25.800384536624	21.8669698757579	19.1980279973488	18.3244177408561	20.0447467639664	22.7432721655187	25.3447080495362	27.9696591773683	29.8447687662368	29.411359879015	29.9432965979347	31.8004486715803	33.3141367525107	33.8628510421215	35.5793241090634	37.8466308872653	38.9405117470457	39.0708383685867	40.0712939542006	40.6635960958578	40.2304706576262	39.0359524965012	38.3980056926087	38.4201483535482
"H3K4me3"	18.5431797786909	20.1544155120442	22.5110983285449	25.2126725233789	27.9766195095323	31.5181824287253	34.9655462731481	39.1317279335795	43.2726349089028	48.0526321644617	52.8489596556078	56.8843502232173	59.7447166212138	62.7321302223968	62.8312724173014	57.954009936073	50.8877194747543	45.928822896085	43.4199891347467	46.7276383727183	59.7259101069867	79.7871969054522	100.06546639918	122.355523965719	139.990067128481	139.607355026078	134.942613545236	135.05129203634	131.704961799815	123.504470620759	116.346560924694	110.182787902441	102.266780696924	93.7546956872651	86.5196536072345	79.6736468553057	72.7091542352487	66.0532863525418	60.7454059858943	56.8019612373993
"H3K79me2"	12.7594728761247	12.5135284820044	12.5370274770993	12.4345111288212	12.3849784444244	12.4246723630721	11.9966810500348	11.7333766733394	11.1649024012489	10.6377744860644	10.2585350006539	9.58521475705195	8.92357024958488	8.32908987235897	7.64878552090333	6.96462104550461	6.21719485093405	5.704147268733	5.37090237737894	5.47172057678471	6.1626406034172	7.51898631131428	8.74148816683143	10.2437663723079	12.3248269503461	13.6797633605764	14.7007540805691	16.8672462233391	19.5733509987592	20.9855093442065	22.9561016561744	25.612078710476	27.3339977294374	28.5469834019901	29.8490408584966	31.2400582887667	32.2134052473572	32.4980227484305	33.4523025093274	34.6784476552477
"H3K9ac"	12.7083851713256	13.7232244142471	15.319183550298	17.0928723218168	18.9142765839375	21.2571885902545	23.4623004405898	25.9479723543854	28.3756079842368	31.1993850803557	33.9264424737537	35.6696346787936	36.601444975881	37.0764432412498	35.4891134604644	31.9030257652764	28.3635880867735	25.8626737308259	24.5775720998899	25.8085880133914	31.8012122983197	40.717671733173	46.8430591811564	55.5332467162931	65.6173739406519	67.9298121599489	65.8277231873537	65.34901778564	64.6170102917364	61.3328291425746	57.9013698979616	55.4119450904545	51.8559048907349	48.1492380882736	45.1376933219531	41.8976611607203	38.6810721580695	35.4497878627782	32.8299465348385	30.8369825526572
